Date,10 gram price,Tola
5-Feb-13,53700,
17-April-13,46200,
08-Jun-13,46457,
20-Sep-13,46971,
24-Sep-13,45600,
02-Oct-13,44830,
09-Dec-13,43714,
30-Dec-13,41650,
10-Mar-14,44828,
20-Jul-14,"41,571",
05-Aug-14,40894,
26-Nov-14,40800,
11-June-16,40380,
4-July-16,43671,
12-July-16,44142,
17-Sep-16,44057,
22-Nov-16,43542,
17-Feb-17,43457,
28-Sep-18,50454,
9-Oct-18,53155,
18-Oct-18,52941,
7-Nov-18,51826,
15-Nov-18,52683,
23-Nov-18,54612,
5-Dec-18,55341,
18-Dec-18,58128,
10-Jan-19,58128,
15-Jan-19,57342,
22-Jan-19,57600,
21-Feb-19,59671,
11-Mar-19,58942,
22-Mar-19,59928,
25-Mar-19,60442,
1-Apr-19,60485,
3-Apr-19,61079,
8-Apr-19,60871,
12-Apr-19,60214,
16-Apr-19,60485,
13-May-2019,60442,70500
14-May-2019,60614,70700
16-May-2019,61471,71700
17-May-2019,61814,72100
23-May-2019,61128,71300
25-May-2019,59757,69700
29-May-2019,59814,69800
31-May-2019,60014,70000
4-June-2019,61471,71700
11-June-2019,61900,72200
13-June-2019,62757,73200
14-June-2019,65070,75900
21-June-2019,66958,78100
24-June-2019,68029,78350
25-June-2019,69016,80500
27-June-2019,69872,81500
28-June-2019,68244,79600
29-June-2019,67387,78600
2-July-2019,66701,77800
3-July-2019,67044,78200
4-July-2019,66186,77200
8-July-2019,67430,78650
12-July-2019,70302,82000
15-July-2019,70800,82600
16-July-2019,71587,83500
17-July-2019,70842,82650
18-July-2019,71435,83400
19-July-2019,72016,84000
22-July-2019,71914,83900
25-July-2019,72360,84400
29-July-2019,72359,84400
31-July-2019,72016,84000
5-August-2019,72016,84000
6-August-2019,72444,84500
7-August-2019,73945,86250
10-August-2019,74888,87350
16-August-2019,75703,88300
19-August-2019,75439,88000
23-August-2019,74674,87100
29-August-2019,76990,89800
2-Sep-2019,76990,89500
4-Sep-2019,76303,89000
20-Sep-2019,74674,87100
26-Sep-2019,75874,88500
4-Oct-2019,75231,87750
11-Oct-2019,74245,86600
28-Oct-2019,75446,88000
22-Dec-2019,73431,85650
3-January-2020,76860,89650
4-Jan-2020,77590,90500
6-Jan-2020,80075,93400
23-Jan-2020,77390,90150
22-Feb-2020,80290,93650
10-Mar-2020,81447,95000
14-Apr-2020,86076,100400
17-Apr-2020,86591,101000
24-Apr-2020,82647,96400
5-May-2020,81018,94500
12-May-2020,81875,95500
19-May-2020,81876,95500
28-May-2020,82647,96400
1-June-2020,84105,98100
6-June-2020,83676,97600
16-June-2020,84619,98700
23-June-2020,87448,102000
24-June-2020,90106,105100
1-July-2020,90192,105200
7-July-2020,90792,105900
9-July-2020,93536,109100
13-July-2020,93664,109250
22-July-2020,97308,113500
25-July-2020,101766,118700
27-July-2020,106138,123800
29-July-2020,105238,122750
6-Aug-2020,111025,129500
18-Aug-2020,104853,122300
12-Sep-2020,97737,114000
25-Sep-2020,111800,95850
3-Nov-2020,97510,113200
11-Jan-2021,97510,113200
11-March-2021,91778,106700
31-March-2021,88220,102900
20-April-2021,88820,103600
28-April-2021,89078,103900
27-May-2021,95850112826,111800
3-July-2021,93450,109000
13-Sep-2021,96380,112300
15-Sep-2021,96622,112700
1-Oct-2021,97822,114100
4-Oct-2021,97908,114200
2-Dec-2021,105281,122600
17-Dec-2021,107253,125100
8-Feb-2022,106966,124800
16-April-2022,112826,131600
25-April-2022,116519,135764
11-May-2022,112100,130800
16-May-2022,111400,130000
25-May-2022,120852,140812
2-June-2022,117200,136700
8-June-2022,120100,140100
15-June-2022,120000,140000
22-June-2022,125100,145900
20-July-2022,122240,142429
21-July-2022,123537,143940
28-July-2022,139318,162500
29-July-2022,134200,156500
6-August-2022,128800,150300
10-August-2022,129547,150943
24-August-2022,122135,142307
29-August-2022,123100,143500
14-Sep-2022,127900,149100
3-December-2022,129300,150800
10-December-2022,129500,151000
29-December-2022,131200,153000
3-January-2023,160.493,187.196
11-January-2023,157407,183600
03-February-2023,176440,205800
02-March-2023,177040,206500
19-March-2023,177726,207300
05-April-2023,186042,217000
30-May-2023,214373,250041
5-August-2023,191016,222800
